title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
סוקולוב 24,₪ 1 750 000,"דירה, מרכז, קרית עבודה, חולון",3 חדרים • קומה 1 • 78 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg,,1750000.0,3.0,78.0,1.0,חולון,,22435.897435897437
אדגר דגה,₪ 2 680 000,"דו משפחתי, גבעת טל, קרית אתא",5 חדרים • קומה קרקע • 210 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/13/2_5/o/y2_1pa_010987_20250813100840.jpeg,,2680000.0,5.0,210.0,4.0,קרית אתא,,12761.904761904761
יוסף שפרינצק,₪ 2 700 000,"דירת גן, אחדות, פתח תקווה",4 חדרים • קומה קרקע • 96 מ״ר,"ממ""ד, חניה, בניין משופץ",https://img.yad2.co.il/Pic/202508/04/2_5/o/y2_1pa_010308_20250804102809.jpeg,,2700000.0,4.0,96.0,4.0,פתח תקווה,,28125.0
ארתור רובינשטיין,₪ 5 600 000,"דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",4 חדרים • קומה 2 • 125 מ״ר,"ממ""ד, חניה, מטבח גדול",https://img.yad2.co.il/Pic/202507/27/2_5/o/o2_5_1_02800_20250727050610.jpg,,5600000.0,4.0,125.0,2.0,תל אביב יפו,,44800.0
לאה פורת,₪ 4 465 000,"בית פרטי/ קוטג', ירושלים",6 חדרים • קומה קרקע • 147 מ״ר,"2 מרפסות, ממ""ד, יחידת הורים",https://img.yad2.co.il/Pic/202508/11/2_5/o/y2_1pa_010829_20250811133310.jpeg,,4465000.0,6.0,2.0,4.0,Unknown,"קוטג', ירושלים",2232500.0
הדר יוסף,₪ 10 500 000,"דו משפחתי, הדר יוסף, תל אביב יפו",8 חדרים • קומה קרקע • 220 מ״ר,"חניה, משופצת אדריכלית, בניין משופץ",https://img.yad2.co.il/Pic/202508/17/2_5/o/o2_5_1_07222_20250817102429.jpg,,10500000.0,8.0,220.0,4.0,תל אביב יפו,,47727.27272727273
נתיב חטיבת גולני,₪ 850 000,"דירה, עכו",3 חדרים • קומה 1 • 70 מ״ר,"קרוב לים, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202507/03/2_5/o/y2_1pa_010357_20250703122037.jpeg,,850000.0,3.0,70.0,1.0,עכו,,12142.857142857143
בית פרטי/ קוטג',₪ 6 500 000,"בית פרטי/ קוטג', תל מונד",6 חדרים • קומה קרקע • 320 מ״ר,"ממ""ד, חניה, גמיש במחיר",https://img.yad2.co.il/Pic/202506/23/2_5/o/y2_1pa_010693_20250623162854.jpeg,,6500000.0,6.0,320.0,4.0,Unknown,"קוטג', תל מונד",20312.5
נופך 24,₪ 2 190 000,"דירה, כרמי גת, קרית גת",5 חדרים • קומה 2 • 127 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202506/30/2_5/o/y2_1pa_010757_20250630150632.jpeg,,2190000.0,5.0,127.0,2.0,קרית גת,,17244.094488188977
טירת שלום,₪ 7 200 000,"בית פרטי/ קוטג', טירת שלום, נס ציונה",7 חדרים • קומה קרקע • 294 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/06/2_5/o/y2_8_eFpxZH0CRb_20250806.jpeg,,7200000.0,7.0,294.0,4.0,Unknown,"קוטג', טירת שלום, נס ציונה",24489.79591836735
